UUUUU  0 ns
#1
UUUU1  6.10308 ns
U1UU1  6.644117 ns
01UU1  7.34804 ns
010U1  8.372429 ns
10101  1005.524647 ns
10001  1006.524711 ns
11001  1006.617683 ns
01001  1006.926827 ns
00001  1103.123524 ns
00011  1103.845898 ns
00111  1104.123588 ns
00011  1104.619309 ns
01011  1106.025638 ns
01111  1107.025702 ns
00111  1107.118674 ns
10111  1107.427818 ns
11111  1302.863246 ns
11101  1303.58562 ns
11001  1303.86331 ns
11011  1306.391882 ns
10011  1306.639255 ns
10001  1306.93551 ns
00001  1306.948399 ns
00000  1308.314618 ns
00010  1308.884578 ns
00110  1309.657989 ns
01110  1505.524647 ns
01010  1506.524711 ns
00010  1506.617683 ns
10010  1506.926827 ns
10011  1508.029867 ns
10001  1508.118896 ns
00001  1508.739113 ns
00000  1509.498004 ns
00010  1606.37031 ns
00110  1607.143721 ns
00100  1609.399268 ns
00101  1610.778376 ns
01101  1706.025638 ns
01001  1707.025702 ns
00001  1707.118674 ns
10001  1707.427818 ns
10000  1709.310239 ns
10010  1709.399268 ns
00010  1710.019485 ns
00011  1710.778376 ns
00001  1806.115357 ns
01001  1806.89872 ns
11001  1807.207864 ns
11000  1807.494465 ns
11010  1808.064425 ns
11011  1808.730969 ns
11111  1808.837836 ns
01111  1809.440215 ns
00111  1905.524647 ns
00101  1906.115357 ns
00001  1906.524711 ns
00011  1908.031785 ns
00001  1908.064425 ns
00101  1908.837836 ns
01101  2002.863246 ns
01111  2003.58562 ns
01011  2003.86331 ns
01111  2004.359031 ns
00111  2005.524647 ns
00011  2006.524711 ns
01011  2006.617683 ns
11011  2006.926827 ns
10011  2103.123524 ns
10001  2103.845898 ns
10101  2104.123588 ns
10111  2106.37031 ns
11111  2106.617683 ns
01111  2106.926827 ns
01101  2107.195788 ns
01100  2108.574896 ns
01110  2109.144856 ns
01010  2109.918267 ns
00010  2206.025638 ns
00000  2206.651688 ns
00100  2207.025702 ns
00110  2208.568116 ns
00100  2208.600756 ns
00000  2209.374167 ns
01000  2405.647936 ns
01010  2406.37031 ns
00010  2406.397729 ns
00110  2406.648 ns
10110  2406.706873 ns
10010  2407.143721 ns
10011  2408.229978 ns
00011  2408.939224 ns
01011  2502.863246 ns
01001  2503.58562 ns
01101  2503.86331 ns
01111  2506.391882 ns
01110  2507.450597 ns
11110  2508.159843 ns
10110  2603.123524 ns
10100  2603.845898 ns
10000  2604.123588 ns
10100  2604.619309 ns
10101  2607.942756 ns
10111  2608.031785 ns
00111  2608.652002 ns
00110  2609.410893 ns
01110  2705.524647 ns
01010  2706.524711 ns
00010  2706.617683 ns
10010  2706.926827 ns
10011  2708.029867 ns
10001  2708.118896 ns
00001  2708.739113 ns
00000  2709.498004 ns
00010  2806.37031 ns
00110  2807.143721 ns
00100  2809.399268 ns
00101  2810.778376 ns
01101  2905.669508 ns
01111  2906.391882 ns
01011  2906.669572 ns
00011  2906.89872 ns
00111  2907.165293 ns
10111  2907.207864 ns
10110  2908.730969 ns
00110  2909.440215 ns
01110  3003.123524 ns
01100  3003.845898 ns
01000  3004.123588 ns
01010  3006.37031 ns
00010  3006.617683 ns
10010  3006.926827 ns
10000  3007.195788 ns
10001  3008.574896 ns
10011  3009.144856 ns
10111  3009.918267 ns
11111  3105.669508 ns
11101  3106.115357 ns
11001  3106.669572 ns
11000  3107.494465 ns
#5
11001  5.775564 ns
10001  5.945864 ns
10101  5.973357 ns
00101  6.494458 ns
00111  7.243777 ns
00101  7.512015 ns
00001  7.678563 ns
01001  8.219113 ns
01000  105.044974 ns
11000  105.474029 ns
10000  105.945864 ns
10100  105.973357 ns
00100  106.479091 ns
01100  107.198684 ns
01101  109.173069 ns
11101  110.607186 ns
01101  207.003882 ns
01100  207.041609 ns
01101  207.690927 ns
11101  208.475726 ns
10101  208.728537 ns
10111  209.15914 ns
10110  210.702922 ns
00110  212.137039 ns
00111  307.041609 ns
00110  307.690927 ns
01110  308.045291 ns
01010  308.072784 ns
11010  308.475726 ns
11000  308.913573 ns
11100  309.080121 ns
11110  309.15914 ns
01110  405.474029 ns
00110  407.198684 ns
01110  407.825116 ns
01010  407.852609 ns
11010  408.37371 ns
11011  409.173069 ns
10011  410.098365 ns
00011  410.607186 ns
10011  505.474029 ns
11011  505.945864 ns
11010  505.959329 ns
11110  505.973357 ns
10110  507.198684 ns
10100  507.427542 ns
10110  507.69578 ns
11110  507.825116 ns
11010  507.852609 ns
11110  507.862328 ns
11111  509.173069 ns
01111  510.607186 ns
00111  605.945864 ns
00011  605.973357 ns
10011  606.069685 ns
10010  606.102392 ns
00010  606.494458 ns
00011  607.184672 ns
00010  607.83399 ns
00000  607.838843 ns
00100  608.005391 ns
00101  609.768725 ns
10101  706.069685 ns
10100  707.184672 ns
11100  707.79434 ns
11101  707.83399 ns
11111  709.302203 ns
11110  709.768725 ns
11111  806.102392 ns
11101  807.570605 ns
10101  808.452862 ns
10001  808.480355 ns
10000  905.044974 ns
10001  905.694292 ns
11001  905.945864 ns
11101  905.973357 ns
01101  906.479091 ns
11101  906.494458 ns
11111  907.162505 ns
