UUU  0 ns
#1
U0U  3.957996 ns
U01  4.994801 ns
100  1100.626492 ns
000  1101.960416 ns
001  1104.280029 ns
011  1104.486706 ns
010  1300.626492 ns
110  1301.960416 ns
111  1304.280029 ns
101  1304.486706 ns
100  1401.157153 ns
110  1403.921295 ns
111  1500.626492 ns
011  1501.960416 ns
111  1502.694221 ns
101  1504.124439 ns
#20
111  201.70122 ns
011  202.430113 ns
010  202.663208 ns
000  204.590442 ns
100  302.390461 ns
101  303.435826 ns
111  304.538533 ns
011  305.267426 ns
001  401.70122 ns
101  402.430113 ns
111  404.538533 ns
011  405.267426 ns
010  502.154453 ns
000  504.081687 ns
010  504.538533 ns
110  505.267426 ns
100  601.70122 ns
000  602.390461 ns
100  602.430113 ns
101  602.663208 ns
100  603.435826 ns
110  604.538533 ns
100  604.590442 ns
000  605.267426 ns
100  702.390461 ns
101  703.435826 ns
111  704.538533 ns
011  705.267426 ns
001  801.70122 ns
101  802.430113 ns
111  804.538533 ns
011  805.267426 ns
001  901.70122 ns
000  903.475478 ns
001  1002.154453 ns
011  1004.081687 ns
001  1004.538533 ns
101  1005.267426 ns
111  1101.70122 ns
011  1102.390461 ns
111  1102.430113 ns
110  1102.663208 ns
111  1103.435826 ns
101  1104.538533 ns
111  1104.590442 ns
011  1105.267426 ns
001  1301.70122 ns
101  1302.390461 ns
001  1302.430113 ns
000  1302.663208 ns
001  1303.435826 ns
011  1304.538533 ns
001  1304.590442 ns
101  1305.267426 ns
111  1401.70122 ns
110  1403.475478 ns
010  1502.390461 ns
011  1503.435826 ns
001  1504.538533 ns
101  1505.267426 ns
#21
111  202.960149 ns
011  203.120701 ns
001  203.248022 ns
000  203.512391 ns
001  301.449766 ns
101  302.287007 ns
111  303.258306 ns
011  303.418858 ns
010  401.449766 ns
011  402.28346 ns
010  501.449766 ns
000  501.956716 ns
001  502.221085 ns
000  502.28346 ns
010  503.258306 ns
110  503.418858 ns
111  601.449766 ns
011  602.287007 ns
001  603.248022 ns
000  603.512391 ns
001  701.449766 ns
101  702.287007 ns
111  703.258306 ns
011  703.418858 ns
010  801.449766 ns
011  802.28346 ns
010  902.28346 ns
000  902.960149 ns
001  1001.449766 ns
011  1001.956716 ns
010  1002.221085 ns
011  1002.28346 ns
001  1003.258306 ns
101  1003.418858 ns
100  1101.449766 ns
000  1102.287007 ns
010  1103.248022 ns
011  1103.512391 ns
010  1301.449766 ns
110  1302.287007 ns
100  1303.248022 ns
101  1303.512391 ns
100  1402.28346 ns
110  1402.960149 ns
111  1501.449766 ns
011  1502.287007 ns
001  1503.258306 ns
101  1503.418858 ns
#22
100  202.145942 ns
110  203.016811 ns
010  205.204544 ns
000  206.008181 ns
001  302.960014 ns
101  303.919749 ns
111  304.723386 ns
011  304.99316 ns
010  501.585311 ns
000  502.45618 ns
100  503.919749 ns
110  504.723386 ns
111  602.145942 ns
110  602.960014 ns
100  603.016811 ns
000  604.99316 ns
001  702.960014 ns
101  703.919749 ns
111  704.723386 ns
011  704.99316 ns
010  903.171398 ns
000  906.008181 ns
001  1001.585311 ns
011  1002.45618 ns
111  1003.919749 ns
101  1004.723386 ns
100  1102.145942 ns
101  1102.960014 ns
111  1103.016811 ns
011  1104.99316 ns
010  1302.145942 ns
011  1302.960014 ns
001  1303.016811 ns
101  1304.99316 ns
100  1403.171398 ns
110  1406.008181 ns
111  1502.960014 ns
011  1503.919749 ns
001  1504.723386 ns
101  1504.99316 ns
#23
001  202.035877 ns
011  202.901906 ns
001  204.47778 ns
000  205.847144 ns
100  301.391554 ns
110  302.257583 ns
111  302.356099 ns
011  302.945605 ns
111  401.391554 ns
011  402.035877 ns
111  501.391554 ns
